	ACTION																																							GOTO																																									
STATE	var	;	id	,	(	)	{	}	=	inc	dec	if	else	elif	loop	break	return	or	and	==	!=	<	<=	>	>=	+	-	*	/	%	not	[	]	lit_bool	lit_int	lit_char	lit_str	$	program	def_list	def	var_def	var_list	id_list	id_list_cont	fun_def	param_list	var_def_list	stmt_list	stmt	stmt_assign	stmt_incr	stmt_decr	stmt_fun_call	fun_call	expr_list	expr_list_cont	stmt_if	else_if_list	stmt_loop	stmt_break	stmt_return	stmt_empty	expr	expr_or	expr_and	expr_comp	op_comp	expr_rel	op_rel	expr_add	op_add	expr_mul	op_mul	expr_unary	op_unary	expr_primary	array	lit		
0	r2		r2																																			r2		1																																									
1	s5		s6																																			acc			2	3				4																																			
2	r1		r1																																			r1																																											
3	r3		r3																																			r3																																											
4	r4		r4																																			r4																																											
5			s9																																								7	8																																					
6					s10																																																																												
7		s11																																																																															
8		r6																																																																															
9		r9		s13																																									12																																				
10			s16			r12																																						15			14																																		
11	r5		r5																																			r5																																											
12		r7																																																																															
13			s17																																																																														
14						s18																																																																											
15						r11																																																																											
16				s20		r9																																							19																																				
17		r9		s13																																									21																																				
18							s22																																																																										
19						r7																																																																											
20			s23																																																																														
21		r8																																																																															
22	r14	r14	r14					r14		r14	r14	r14			r14	r14	r14																					r14										24																																	
23				s20		r9																																							25																																				
24	s28	r16	r16					r16		r16	r16	r16			r16	r16	r16																									27							26																																
25						r8																																																																											
26		s48	s40					s29		s41	s42	s44			s45	s46	s47																																	30	31	32	33	34	43			35		36	37	38	39																		
27	r13	r13	r13					r13		r13	r13	r13			r13	r13	r13																					r13																																											
28			s9																																								49	8																																					
29	r10		r10																																			r10																																											
30		r15	r15					r15		r15	r15	r15			r15	r15	r15																																																																
31		r17	r17					r17		r17	r17	r17			r17	r17	r17																																																																
32		r18	r18					r18		r18	r18	r18			r18	r18	r18																																																																
33		r19	r19					r19		r19	r19	r19			r19	r19	r19																																																																
34		r20	r20					r20		r20	r20	r20			r20	r20	r20																																																																
35		r21	r21					r21		r21	r21	r21			r21	r21	r21																																																																
36		r22	r22					r22		r22	r22	r22			r22	r22	r22																																																																
37		r23	r23					r23		r23	r23	r23			r23	r23	r23																																																																
38		r24	r24					r24		r24	r24	r24			r24	r24	r24																																																																
39		r25	r25					r25		r25	r25	r25			r25	r25	r25																																																																
40					s51				s50																																																																								
41			s52																																																																														
42			s53																																																																														
43		s54																																																																															
44					s55																																																																												
45							s56																																																																										
46		s57																																																																															
47			s71		s75																					s68	s69				s70	s76		s77	s78	s79	s80																		72									58	59	60	61		62		63		64		65	66	67	73	74		
48		r43	r43					r43		r43	r43	r43			r43	r43	r43																																																																
49		s81																																																																															
50			s71		s75																					s68	s69				s70	s76		s77	s78	s79	s80																		72									82	59	60	61		62		63		64		65	66	67	73	74		
51			s94		s98	r32																				s68	s69				s70	s99		s100	s101	s102	s103																		95	83								84	85	86	87		88		89		90		91	92	93	96	97		
52		s104																																																																															
53		s105																																																																															
54		r29	r29					r29		r29	r29	r29			r29	r29	r29																																																																
55			s116		s120																					s68	s69				s70	s121		s122	s123	s124	s125																		117									106	107	108	109		110		111		112		113	114	115	118	119		
56		r16	r16					r16		r16	r16	r16			r16	r16	r16																																126																																
57		r41	r41					r41		r41	r41	r41			r41	r41	r41																																																																
58		s127																																																																															
59		r44																s128																																																															
60		r46																r46	s129																																																														
61		r48																r48	r48	s131	s132																																															130													
62		r50																r50	r50	r50	r50	s134	s135	s136	s137																																													133											
63		r54																r54	r54	r54	r54	r54	r54	r54	r54	s139	s140																																													138									
64		r60																r60	r60	r60	r60	r60	r60	r60	r60	r60	r60	s142	s143	s144																																												141							
65		r64																r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64	r64																																																			
66			s71		s75																					s68	s69				s70	s76		s77	s78	s79	s80																		72																				145	66	67	73	74		
67		r69																r69	r69	r69	r69	r69	r69	r69	r69	r69	r69	r69	r69	r69																																																			
68			r70		r70																					r70	r70				r70	r70		r70	r70	r70	r70																																												
69			r71		r71																					r71	r71				r71	r71		r71	r71	r71	r71																																												
70			r72		r72																					r72	r72				r72	r72		r72	r72	r72	r72																																												
71		r73			s146													r73	r73	r73	r73	r73	r73	r73	r73	r73	r73	r73	r73	r73																																																			
72		r74																r74	r74	r74	r74	r74	r74	r74	r74	r74	r74	r74	r74	r74																																																			
73		r75																r75	r75	r75	r75	r75	r75	r75	r75	r75	r75	r75	r75	r75																																																			
74		r76																r76	r76	r76	r76	r76	r76	r76	r76	r76	r76	r76	r76	r76																																																			
75			s116		s120																					s68	s69				s70	s121		s122	s123	s124	s125																		117									147	107	108	109		110		111		112		113	114	115	118	119		
76			s159		s163																					s68	s69				s70	s164	r32	s165	s166	s167	s168																		160	148								149	150	151	152		153		154		155		156	157	158	161	162		
77		r79																r79	r79	r79	r79	r79	r79	r79	r79	r79	r79	r79	r79	r79																																																			
